sport,sex,count,Gender,total
Athletics,F,1208,Female,2508
Athletics,M,1300,Male,2508
Canoeing,F,162,Female,441
Canoeing,M,279,Male,441
Cycling,F,267,Female,667
Cycling,M,400,Male,667
Football,F,203,Female,473
Football,M,270,Male,473
Gymnastics,F,383,Female,861
Gymnastics,M,478,Male,861
Hockey,F,194,Female,390
Hockey,M,196,Male,390
Judo,F,152,Female,389
Judo,M,237,Male,389
Rowing,F,219,Female,550
Rowing,M,331,Male,550
Shooting,F,214,Female,555
Shooting,M,341,Male,555
Swimming,F,761,Female,1568
Swimming,M,807,Male,1568
